Person ID,First name,Last name,Party,Constituency,URI,flastname,firstnamelastname,subdomain,user
26565,David,Baines,Labour,St Helens North,https://www.theyworkforyou.com/mp/26565/david_baines/st_helens_north,dbaines,davidbaines,https://dbaines.caseworkermp.com,TRUE
26444,Alex,Baker,Labour,Aldershot,https://www.theyworkforyou.com/mp/26444/alex_baker/aldershot,abaker,alexbaker,https://abaker.caseworkermp.com,TRUE
13952,Richard,Baker,Labour,Glenrothes and Mid Fife,https://www.theyworkforyou.com/mp/13952/richard_baker/glenrothes_and_mid_fife,rbaker,richardbaker,https://rbaker.caseworkermp.com,TRUE
24785,Harriett,Baldwin,Conservative,West Worcestershire,https://www.theyworkforyou.com/mp/24785/harriett_baldwin/west_worcestershire,hbaldwin,harriettbaldwin,https://hbaldwin.caseworkermp.com,TRUE
26580,Alex,Ballinger,Labour,Halesowen,https://www.theyworkforyou.com/mp/26580/alex_ballinger/halesowen,aballinger,alexballinger,https://aballinger.caseworkermp.com,TRUE
26342,Antonia,Bance,Labour,Tipton and Wednesbury,https://www.theyworkforyou.com/mp/26342/antonia_bance/tipton_and_wednesbury,abance,antoniabance,https://abance.caseworkermp.com,TRUE
24916,Steve,Barclay,Conservative,North East Cambridgeshire,https://www.theyworkforyou.com/mp/24916/steve_barclay/north_east_cambridgeshire,sbarclay,stevebarclay,https://sbarclay.caseworkermp.com,TRUE
25819,Paula,Barker,Labour,Liverpool Wavertree,https://www.theyworkforyou.com/mp/25819/paula_barker/liverpool_wavertree,pbarker,paulabarker,https://pbarker.caseworkermp.com,TRUE
26554,Lee,Barron,Labour,Corby and East Northamptonshire,https://www.theyworkforyou.com/mp/26554/lee_barron/corby_and_east_northamptonshire,lbarron,leebarron,https://lbarron.caseworkermp.com,TRUE
26402,Alex,Barros-Curtis,Labour,Cardiff West,https://www.theyworkforyou.com/mp/26402/alex_barros-curtis/cardiff_west,abarroscurtis,alexbarroscurtis,https://abarroscurtis.caseworkermp.com,TRUE
26375,Johanna,Baxter,Labour,Paisley and Renfrewshire South,https://www.theyworkforyou.com/mp/26375/johanna_baxter/paisley_and_renfrewshire_south,jbaxter,johannabaxter,https://jbaxter.caseworkermp.com,TRUE
26619,Danny,Beales,Labour,Uxbridge and South Ruislip,https://www.theyworkforyou.com/mp/26619/danny_beales/uxbridge_and_south_ruislip,dbeales,dannybeales,https://dbeales.caseworkermp.com,TRUE
26475,Lorraine,Beavers,Labour,Blackpool North and Fleetwood,https://www.theyworkforyou.com/mp/26475/lorraine_beavers/blackpool_north_and_fleetwood,lbeavers,lorrainebeavers,https://lbeavers.caseworkermp.com,TRUE
26625,Peter,Bedford,Conservative,Mid Leicestershire,https://www.theyworkforyou.com/mp/26625/peter_bedford/mid_leicestershire,pbedford,peterbedford,https://pbedford.caseworkermp.com,TRUE
25726,Órfhlaith,Begley,Sinn Féin,West Tyrone,https://www.theyworkforyou.com/mp/25726/orfhlaith_begley/west_tyrone,rbegley,rfhlaithbegley,,FALSE
25914,Apsana,Begum,Labour,Poplar and Limehouse,https://www.theyworkforyou.com/mp/25914/apsana_begum/poplar_and_limehouse,abegum,apsanabegum,https://abegum.caseworkermp.com,TRUE
26331,Torsten,Bell,Labour,Swansea West,https://www.theyworkforyou.com/mp/26331/torsten_bell/swansea_west,tbell,torstenbell,https://tbell.caseworkermp.com,TRUE
10669,Hilary,Benn,Labour,Leeds South,https://www.theyworkforyou.com/mp/10669/hilary_benn/leeds_south,hbenn,hilarybenn,https://hbenn.caseworkermp.com,TRUE
26498,Alison,Bennett,Liberal Democrat,Mid Sussex,https://www.theyworkforyou.com/mp/26498/alison_bennett/mid_sussex,abennett,alisonbennett,https://abennett.caseworkermp.com,TRUE
25752,Siân,Berry,Green,Brighton Pavilion,https://www.theyworkforyou.com/mp/25752/si%C3%A2n_berry/brighton_pavilion,sberry,sinberry,https://sberry.caseworkermp.com,TRUE
10045,Clive,Betts,Labour,Sheffield South East,https://www.theyworkforyou.com/mp/10045/clive_betts/sheffield_south_east,cbetts,clivebetts,https://cbetts.caseworkermp.com,TRUE
25847,Saqib,Bhatti,Conservative,Meriden and Solihull East,https://www.theyworkforyou.com/mp/25847/saqib_bhatti/meriden_and_solihull_east,sbhatti,saqibbhatti,https://sbhatti.caseworkermp.com,TRUE
26360,Polly,Billington,Labour,East Thanet,https://www.theyworkforyou.com/mp/26360/polly_billington/east_thanet,pbillington,pollybillington,https://pbillington.caseworkermp.com,TRUE
26574,Matt,Bishop,Labour,Forest of Dean,https://www.theyworkforyou.com/mp/26574/matt_bishop/forest_of_dean,mbishop,mattbishop,https://mbishop.caseworkermp.com,TRUE
24945,Bob,Blackman,Conservative,Harrow East,https://www.theyworkforyou.com/mp/24945/bob_blackman/harrow_east,bblackman,bobblackman,https://bblackman.caseworkermp.com,TRUE
25314,Kirsty,Blackman,Scottish National Party,Aberdeen North,https://www.theyworkforyou.com/mp/25314/kirsty_blackman/aberdeen_north,kblackman,kirstyblackman,https://kblackman.caseworkermp.com,TRUE
25908,Olivia,Blake,Labour,Sheffield Hallam,https://www.theyworkforyou.com/mp/25908/olivia_blake/sheffield_hallam,oblake,oliviablake,https://oblake.caseworkermp.com,TRUE
26546,Rachel,Blake,Labour/Co-operative,Cities of London and Westminster,https://www.theyworkforyou.com/mp/26546/rachel_blake/cities_of_london_and_westminster,rblake,rachelblake,https://rblake.caseworkermp.com,TRUE
26357,Christopher,Bloore,Labour,Redditch,https://www.theyworkforyou.com/mp/26357/christopher_bloore/redditch,cbloore,christopherbloore,https://cbloore.caseworkermp.com,TRUE
26481,Elsie,Blundell,Labour,Heywood and Middleton North,https://www.theyworkforyou.com/mp/26481/elsie_blundell/heywood_and_middleton_north,eblundell,elsieblundell,https://eblundell.caseworkermp.com,TRUE
