Request URL,# Redirects,Status Code,URL,Error Message
http://efoody.caseworkermp.com,1,302,http://efoody.caseworkermp.com,
,,200,https://efoody.caseworkermp.com/,
http://cfookes.caseworkermp.com,1,302,http://cfookes.caseworkermp.com,
,,200,https://cfookes.caseworkermp.com/,
http://rfoord.caseworkermp.com,1,302,http://rfoord.caseworkermp.com,
,,200,https://rfoord.caseworkermp.com/,
http://wforster.caseworkermp.com,1,302,http://wforster.caseworkermp.com,
,,200,https://wforster.caseworkermp.com/,
http://pfortune.caseworkermp.com,1,302,http://pfortune.caseworkermp.com,
,,200,https://pfortune.caseworkermp.com/,
http://pfoster.caseworkermp.com,1,302,http://pfoster.caseworkermp.com,
,,200,https://pfoster.caseworkermp.com/,
http://afox.caseworkermp.com,1,302,http://afox.caseworkermp.com,
,,200,https://afox.caseworkermp.com/,
http://vfoxcroft.caseworkermp.com,1,302,http://vfoxcroft.caseworkermp.com,
,,200,https://vfoxcroft.caseworkermp.com/,
http://mfoy.caseworkermp.com,1,302,http://mfoy.caseworkermp.com,
,,200,https://mfoy.caseworkermp.com/,
http://dfrancis.caseworkermp.com,1,302,http://dfrancis.caseworkermp.com,
,,200,https://dfrancis.caseworkermp.com/,
http://mfrancois.caseworkermp.com,1,302,http://mfrancois.caseworkermp.com,
,,200,https://mfrancois.caseworkermp.com/,
http://zfranklin.caseworkermp.com,1,302,http://zfranklin.caseworkermp.com,
,,200,https://zfranklin.caseworkermp.com/,
http://gfreeman.caseworkermp.com,1,302,http://gfreeman.caseworkermp.com,
,,200,https://gfreeman.caseworkermp.com/,
http://lfrench.caseworkermp.com,1,302,http://lfrench.caseworkermp.com,
,,200,https://lfrench.caseworkermp.com/,
http://jfrith.caseworkermp.com,1,302,http://jfrith.caseworkermp.com,
,,200,https://jfrith.caseworkermp.com/,
http://rfuller.caseworkermp.com,1,302,http://rfuller.caseworkermp.com,
,,200,https://rfuller.caseworkermp.com/,
http://gfurniss.caseworkermp.com,1,302,http://gfurniss.caseworkermp.com,
,,200,https://gfurniss.caseworkermp.com/,
http://rgale.caseworkermp.com,1,302,http://rgale.caseworkermp.com,
,,500,https://rgale.caseworkermp.com/,
http://bgardiner.caseworkermp.com,1,302,http://bgardiner.caseworkermp.com,
,,200,https://bgardiner.caseworkermp.com/,
http://agardner.caseworkermp.com,1,302,http://agardner.caseworkermp.com,
,,200,https://agardner.caseworkermp.com/,
http://mgarnier.caseworkermp.com,1,302,http://mgarnier.caseworkermp.com,
,,200,https://mgarnier.caseworkermp.com/,
http://agelderd.caseworkermp.com,1,302,http://agelderd.caseworkermp.com,
,,200,https://agelderd.caseworkermp.com/,
http://agemmell.caseworkermp.com,1,302,http://agemmell.caseworkermp.com,
,,200,https://agemmell.caseworkermp.com/,
http://ageorge.caseworkermp.com,1,302,http://ageorge.caseworkermp.com,
,,200,https://ageorge.caseworkermp.com/,
http://ggerman.caseworkermp.com,1,302,http://ggerman.caseworkermp.com,
,,200,https://ggerman.caseworkermp.com/,
http://sgethins.caseworkermp.com,1,302,http://sgethins.caseworkermp.com,
,,200,https://sgethins.caseworkermp.com/,
